0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
0.10779048,0.095230288,0.064880927,0.064514331,0.032884875,0.087440542,0.093662575,0.069369682,0.03108294,0.109133641,0.10007839,0.122121789,0.074472173,0.112911807,0.112393769,0.114784783,0.155059026,0.122202397,0.154237082,0.155912559,0.169041157,0.132517748,0.16100049,0.167923329,0.209377091,0.122061852,0.142911733,0.153978478,0.179657667,0.112946303,0.139519042,0.115845578,0.124211882,0.119682353,0.113665948,0.092213574,0.082824478,0.111243979,0.073912062,0.050037451,0.034562083,0.084566079,0.062017777,0.046237065,0.020674428,0.086638935,0.07952116,0.051846576,0.044939614,0.098232019,0.089156446,0.071992954,0.061052799,0.115455278,0.124960466,0.120094816,0.124001929,0.125445256,0.131602497,0.1554153,0.170189636,0.131829553,0.147774576,0.166923806,0.183115552,0.120177856,0.13387256,0.158828888,0.180550612,0.108362895,0.114284654,0.127480115,0.151504105,0.098387908,0.103056212,0.095337897,0.107494712,0.103382256,0.095981709,0.068466376,0.063380699,0.036377319,0.10396708,0.081370813,0.065156623,0.040587824,0.020600931,0.089759958,0.077997658,0.045049429,0.027937735,0.098072867,0.092222061,0.071864956,0.067103436,0.105305544,0.110515739,0.134608466,0.127033275,0.113954966,0.135272979,0.15693697,0.169088192,0.119590575,0.145558015,0.164311664,0.178675357,0.119590154,0.133283875,0.146252675,0.161887841,0.105265439,0.120624585,0.124315963,0.10731309,0.101838003,0.092921059,0.096967771,0.077407496,0.082592609,0.068637215,0.046240155,0.027647581,0.104311457,0.087020793,0.062097901,0.042146611,0.021312126,0.090618746,0.069864864,0.04578307,0.026960316,0.096046574,0.087524321,0.088639283,0.065352381,0.104965114,0.105858843,0.119542907,0.132654846,0.120345704,0.136221456,0.145114554,0.163807939,0.120003342,0.145859619,0.165673353,0.183874143,0.116980568,0.132919342,0.155206685,0.163426597,0.11027053,0.112660228,0.111039922,0.142566638,0.097959215,0.082912591,0.095977136,0.064703325,0.083783005,0.071363575,0.052577884,0.024545098,0.10935133,0.084420419,0.066644627,0.041319784,0.026192431,0.088070764,0.081500437,0.047153838,0.049176071,0.112030089,0.093446886,0.100462755,0.075037602,0.060225184,0.119034873,0.11119407,0.138925555,0.11894891,0.130771571,0.137731542,0.160929004,0.176553184,0.128556472,0.141785479,0.173673702,0.189205354,0.123769773,0.138378217,0.15276433,0.163744543,0.108889795,0.121889001,0.132413103,0.119852833,0.098527151,0.090539669,0.08906567,0.080829314,0.085902938,0.071216637,0.056961942,0.0480482
0.113388934,0.096656807,0.086404104,0.051968111,0.033207824,0.088577724,0.081199149,0.061382337,0.032798027,0.109334069,0.095415932,0.111785448,0.067352655,0.129350498,0.138550549,0.145050763,0.152611877,0.131109438,0.151940749,0.150284441,0.192693974,0.125334715,0.149614372,0.169601048,0.18481851,0.141420964,0.152216173,0.177583786,0.173273265,0.112294631,0.125259551,0.130629868,0.114360945,0.101867962,0.09179049,0.097104608,0.061601788,0.091991043,0.072314083,0.064349651,0.045989291,0.086856419,0.06590322,0.045523023,0.024379511,0.102905064,0.076228874,0.051733371,0.028393973,0.098391047,0.093823362,0.078137466,0.094707717,0.115864401,0.116255567,0.112382196,0.118690166,0.12176777,0.134798331,0.15587715,0.166553101,0.120769488,0.146003948,0.164457512,0.180663133,0.119639494,0.146283412,0.165127087,0.176699832,0.113701747,0.130007433,0.128746057,0.126306495,0.108128172,0.085782192,0.073984898,0.070673328,0.10225336,0.095976859,0.081916783,0.052325744,0.029367138,0.100237637,0.080204078,0.064842362,0.041097252,0.023610494,0.085350124,0.066434374,0.045372585,0.048823349,0.096199186,0.0836789,0.086865474,0.056699703,0.112019416,0.111955317,0.124716252,0.136769972,0.120985181,0.137951768,0.144200287,0.166572169,0.12520717,0.14033323,0.161863343,0.179907045,0.113918964,0.137048645,0.144234817,0.16924388,0.107527764,0.113259517,0.12461837,0.13292903,0.090872174,0.092307095,0.082111505,0.085776681,0.089086391,0.069382385,0.0458495,0.025801457,0.10231216,0.086126278,0.06617542,0.040027346,0.020675361,0.088951714,0.073026329,0.064164374,0.025768727,0.091962208,0.091276994,0.091326129,0.096372504,0.111672817,0.109882832,0.134003904,0.1205662,0.121884688,0.13328972,0.151257223,0.17084512,0.122851509,0.141125895,0.162607689,0.179887738,0.123533364,0.134374773,0.148490092,0.158921061,0.111854747,0.110891029,0.120415814,0.14419951,0.097932204,0.096536424,0.090108801,0.05486381,0.089236886,0.076367057,0.054706089,0.036772926,0.109284244,0.085661771,0.07011539,0.053010949,0.024334447,0.088189489,0.070141601,0.050994995,0.03174954,0.103288488,0.104820327,0.091329609,0.085021865,0.067879177,0.116612162,0.132102654,0.111024412,0.13487166,0.119542408,0.13330382,0.150622329,0.163657679,0.133950857,0.141911119,0.166525522,0.182335383,0.12325253,0.149651332,0.154378005,0.166324037,0.109281329,0.12339268,0.13839455,0.137018254,0.098533797,0.099655424,0.09603019,0.066706213,0.086195665,0.069592464,0.069170165,0.028945854
0.104653837,0.10871533,0.077054557,0.066762657,0.035879082,0.094757044,0.071474223,0.067826838,0.041147709,0.098367931,0.094930141,0.086256653,0.116018041,0.115709121,0.135646913,0.133035469,0.117263476,0.127364819,0.160183609,0.170118708,0.176497277,0.135515308,0.146878565,0.168699662,0.185541543,0.142371024,0.146328139,0.165329019,0.176482782,0.110921206,0.114880111,0.154612093,0.15098737,0.107259291,0.10388607,0.097534265,0.097940746,0.1044894,0.074048625,0.060189545,0.048680315,0.092706989,0.072342668,0.046822926,0.022913801,0.100877196,0.076306954,0.048678289,0.029142847,0.104341748,0.106152748,0.109306046,0.062564928,0.107487513,0.122439804,0.114374292,0.153658391,0.118246359,0.141831436,0.160822789,0.175246253,0.120926281,0.145228737,0.161525686,0.182979905,0.117805475,0.14368715,0.160968387,0.16888343,0.112149238,0.129706547,0.118813613,0.118081591,0.09885318,0.109685057,0.092054125,0.083565528,0.103761589,0.086379044,0.066029256,0.049769868,0.035958288,0.102581682,0.080129763,0.0659476,0.040787829,0.021442709,0.089737329,0.068926944,0.056556338,0.037055042,0.101876601,0.08369379,0.077042962,0.09260218,0.110426237,0.11335225,0.118866425,0.136729686,0.116991834,0.137628928,0.143390888,0.166327317,0.119555948,0.145973529,0.159834884,0.181890185,0.116207088,0.134804532,0.147412389,0.171213566,0.114042477,0.107406909,0.130660058,0.118262389,0.094440146,0.08160647,0.098114384,0.097197195,0.086052937,0.072637084,0.051535716,0.039019775,0.104014176,0.086356793,0.063635882,0.042215958,0.020356457,0.085487162,0.070947033,0.055638759,0.029020566,0.095087486,0.08695616,0.083446991,0.083363704,0.113378671,0.109651571,0.127637949,0.128986077,0.122268471,0.140907462,0.142051346,0.164059656,0.120113727,0.139339688,0.159474069,0.180107545,0.116268456,0.133617955,0.149610582,0.160007552,0.107341873,0.110250418,0.124505626,0.139492936,0.090506103,0.091672056,0.099789512,0.096213036,0.088012027,0.076228962,0.047105229,0.029260764,0.112794251,0.080710781,0.07352958,0.047925165,0.023542139,0.083934067,0.084165765,0.063529753,0.035622206,0.107090811,0.110163845,0.090468919,0.085274352,0.109323615,0.122066512,0.117016597,0.128567634,0.148025799,0.123144061,0.136647033,0.164268289,0.173806387,0.120829165,0.141558308,0.173967589,0.185768404,0.120891303,0.140986662,0.149468192,0.171680711,0.112073792,0.124761629,0.122303469,0.11751827,0.09338313,0.090608943,0.089698097,0.074179888,0.084035647,0.067497383,0.065021155,0.030809311
0.106178245,0.088772787,0.070061772,0.055979128,0.029282424,0.092285249,0.081325797,0.080291793,0.033878639,0.106908023,0.112839267,0.105444702,0.073876708,0.111353482,0.125041879,0.149054126,0.125746629,0.124760261,0.158035842,0.152827468,0.191436639,0.130336902,0.170748115,0.176577714,0.199363828,0.136150011,0.151032756,0.166600145,0.188490364,0.13417744,0.14700446,0.137996387,0.152417517,0.124464931,0.10500845,0.098125789,0.099867097,0.104236994,0.088204236,0.053926124,0.044766693,0.082858982,0.07845932,0.053602239,0.023431983,0.085379618,0.070240731,0.054993202,0.043592223,0.101847721,0.092397347,0.084774734,0.095901283,0.111752673,0.133381166,0.112596301,0.132792162,0.119035799,0.144051521,0.159200828,0.172774148,0.120672122,0.141245101,0.162429949,0.180669659,0.116515136,0.136149989,0.149442691,0.177704132,0.121103635,0.116162453,0.118731127,0.136231569,0.103124015,0.09605469,0.09336401,0.056083349,0.101090603,0.10033417,0.068130894,0.06642708,0.049273654,0.1014051,0.086102294,0.063140324,0.04689616,0.021062429,0.085051144,0.075683171,0.046538441,0.030290992,0.090348893,0.094717512,0.091930774,0.071134721,0.112883951,0.114575226,0.124425415,0.133603655,0.122523459,0.135028236,0.152226694,0.169016686,0.123194025,0.140914821,0.15983001,0.1809455,0.122666121,0.137113987,0.147883656,0.174455977,0.112763378,0.106108142,0.118066496,0.147535313,0.100245302,0.09010281,0.069851094,0.059502963,0.091583379,0.066021984,0.059957439,0.024935956,0.10461703,0.081727059,0.067369532,0.044531983,0.025554298,0.082524466,0.077155061,0.059634477,0.035718957,0.098143997,0.084330146,0.086093748,0.091087511,0.102735562,0.106050863,0.134359677,0.136720524,0.120444221,0.138666765,0.1446161,0.16968176,0.119951597,0.139397851,0.165636853,0.179836912,0.115998103,0.128753223,0.149881089,0.168068895,0.114582113,0.111816083,0.129944239,0.126134575,0.094133925,0.089228753,0.077848968,0.095196712,0.082857087,0.075821217,0.058093519,0.031778794,0.102575588,0.084003045,0.064266609,0.043751151,0.020909553,0.097013336,0.068275223,0.064078509,0.038723401,0.112868649,0.099321277,0.089589591,0.092830651,0.071925898,0.108708219,0.124339613,0.127417641,0.13479831,0.129897906,0.143113971,0.147579071,0.167349464,0.125179322,0.146003415,0.171199112,0.180684284,0.119519487,0.133871712,0.150375701,0.175609597,0.108389277,0.119662213,0.130909141,0.132032441,0.101996347,0.091655221,0.093767775,0.091478682,0.096837025,0.082548929,0.068909637,0.03305071
0.115515866,0.093157702,0.081105385,0.053041813,0.02429999,0.104804505,0.07550154,0.053154819,0.032059226,0.120093254,0.120592017,0.099827551,0.058358682,0.123877336,0.129706346,0.140334189,0.11847594,0.127450247,0.140266294,0.181388477,0.177709319,0.138192139,0.150054505,0.170551025,0.20669408,0.119824673,0.142210207,0.159723131,0.183690363,0.114053259,0.129205839,0.135813706,0.147468748,0.111046616,0.117988482,0.11660237,0.09466857,0.090948227,0.104480459,0.056310521,0.047057694,0.081914695,0.063141793,0.046260138,0.023198681,0.097080763,0.079744612,0.048281167,0.04702293,0.099986672,0.093809048,0.094437945,0.077035357,0.111034465,0.122438068,0.117991626,0.128225425,0.124636582,0.149302118,0.157208221,0.179235902,0.133137432,0.152101798,0.164104395,0.183858545,0.12309301,0.141944673,0.152964395,0.163901328,0.107616793,0.114517126,0.129144263,0.127695671,0.097097678,0.106937998,0.078722567,0.082140341,0.10327146,0.094194842,0.068681716,0.061907272,0.050668142,0.105352314,0.080091995,0.060297038,0.040656789,0.020834882,0.086694341,0.073725636,0.056440255,0.044043061,0.090256084,0.082747928,0.069953176,0.100217377,0.110052029,0.110162784,0.1258517,0.136184579,0.118959119,0.135488003,0.142964705,0.175577294,0.12378023,0.145567318,0.159727468,0.180287462,0.122333646,0.134412625,0.148506842,0.169941341,0.108997326,0.11893395,0.124068249,0.148409087,0.092588772,0.087936766,0.095735541,0.060276447,0.089304564,0.067579359,0.050673879,0.032581716,0.103698806,0.085645296,0.061052666,0.040665539,0.02138684,0.091524607,0.070883254,0.047673956,0.045533671,0.09944307,0.081182883,0.086304816,0.066052467,0.113295379,0.122196391,0.119935433,0.121044236,0.11878781,0.135234772,0.152338044,0.160906656,0.120022376,0.146291547,0.160455376,0.180698152,0.119306312,0.134984651,0.150754586,0.176966326,0.106020587,0.117865455,0.131215878,0.144949167,0.10056504,0.094654505,0.084746217,0.089271952,0.090471178,0.073028979,0.060058937,0.030423624,0.119296576,0.086039017,0.063540133,0.049165541,0.024613747,0.087137868,0.078149197,0.046526984,0.029591512,0.101005575,0.104498583,0.100080326,0.087243917,0.084785217,0.110587004,0.129912356,0.116778582,0.135179843,0.121147179,0.14039202,0.160840769,0.166697117,0.126543375,0.142256038,0.168990405,0.18467441,0.119234808,0.141799773,0.162349517,0.179266213,0.109249508,0.114017379,0.113933898,0.132756755,0.096221597,0.09215701,0.092936971,0.060781306,0.086999535,0.077815588,0.063424126,0.035686416
0.124077671,0.104794801,0.081488633,0.057988483,0.025742574,0.105782171,0.071556298,0.087673455,0.03359961,0.108117035,0.092714013,0.1015928,0.078307458,0.112383896,0.135215195,0.136924574,0.160315217,0.142873197,0.141508616,0.160061562,0.169386848,0.128004071,0.155379833,0.17310573,0.184946787,0.146495622,0.13712853,0.155708077,0.173433603,0.123869463,0.125086497,0.126799662,0.134089731,0.104226668,0.092839618,0.086911117,0.097841988,0.101135945,0.079977124,0.061950011,0.045873813,0.08608203,0.061085402,0.050165079,0.023469441,0.084714297,0.070431821,0.05620446,0.0296544,0.092969895,0.084811624,0.097951178,0.070607803,0.112158044,0.120142457,0.121296616,0.125504928,0.121243147,0.136902518,0.158826035,0.176687295,0.13152964,0.143057702,0.171387417,0.193455671,0.131870669,0.138406329,0.164524705,0.172608653,0.110832649,0.128121456,0.131475363,0.113750289,0.098492372,0.093364509,0.088793426,0.078433292,0.109812914,0.096676239,0.075188777,0.055147932,0.027477306,0.10638086,0.086503667,0.061433527,0.040046675,0.020788739,0.086381657,0.067978341,0.064663852,0.027431984,0.100578829,0.086470599,0.093895146,0.059495059,0.106689135,0.113827575,0.134619751,0.121861972,0.118540338,0.13992553,0.150006011,0.173862393,0.120622587,0.143231255,0.165989655,0.179768469,0.120394124,0.139484888,0.145996528,0.16150826,0.110123751,0.121624517,0.116020229,0.111941952,0.092731261,0.084592397,0.07406129,0.083647134,0.084122461,0.077867464,0.063879264,0.044522753,0.100579303,0.083086158,0.067028895,0.042023984,0.024223513,0.089968076,0.075416659,0.048888269,0.037237311,0.10056223,0.086235607,0.076681208,0.080126134,0.10397363,0.113775715,0.1123134,0.12666013,0.122210085,0.136336268,0.142887401,0.163390742,0.119740015,0.139957744,0.161274527,0.181284504,0.119085868,0.137897301,0.149819312,0.175699517,0.104554425,0.117269334,0.12332865,0.134701239,0.096599094,0.098207343,0.075483391,0.090445077,0.085427867,0.073172823,0.051602961,0.026406101,0.1091451,0.085298286,0.068430228,0.048770775,0.032650041,0.092960227,0.080647662,0.058968475,0.028404594,0.102823038,0.098415857,0.091092914,0.086623157,0.064474736,0.10758257,0.120928545,0.120578464,0.152529149,0.115937703,0.137605387,0.149289895,0.164103237,0.121574517,0.141812382,0.167735645,0.18894498,0.121691048,0.135947938,0.158185893,0.184717364,0.109519942,0.117240792,0.136999172,0.128352016,0.10945566,0.085379018,0.100975268,0.080461355,0.085400598,0.080390632,0.052155364,0.054087923
0.10551447,0.10447152,0.06652234,0.045864928,0.030580349,0.108646977,0.092579674,0.056284161,0.029607454,0.113855558,0.100495033,0.075495599,0.06255684,0.127543977,0.124122004,0.133558475,0.145908851,0.141936667,0.157210927,0.149129512,0.191042325,0.140066951,0.145502501,0.17088608,0.189499481,0.132265378,0.147929175,0.177999788,0.190086283,0.113219855,0.119415778,0.142760914,0.13144253,0.098619863,0.113283968,0.077550696,0.076081712,0.091561122,0.08139867,0.056689618,0.042971474,0.081066594,0.071100237,0.045873127,0.026255317,0.087973276,0.076350966,0.048819236,0.042521833,0.095061145,0.092510378,0.085149694,0.096343409,0.11945203,0.114103843,0.124986985,0.139481995,0.118553693,0.132308215,0.147065398,0.16905323,0.121408475,0.141805331,0.160868532,0.189933579,0.117634035,0.147534142,0.156934748,0.162847101,0.10600333,0.109976878,0.133498442,0.118497682,0.106975173,0.103262349,0.087027582,0.101805039,0.101664096,0.084985199,0.066111666,0.053007086,0.04028803,0.100542116,0.081558886,0.060639721,0.047526346,0.022000078,0.088847462,0.075295764,0.057572113,0.030438439,0.099294174,0.090002812,0.086957452,0.066666895,0.111106623,0.123125938,0.113290547,0.118243745,0.117596948,0.139540664,0.151203583,0.166536071,0.121177712,0.143317213,0.161341392,0.178742028,0.121922109,0.137863388,0.146265791,0.160550301,0.114461367,0.112518678,0.130516277,0.110571589,0.099261763,0.098342523,0.077047594,0.085399773,0.089196786,0.07641242,0.045023307,0.025146077,0.10275638,0.081010097,0.067699696,0.042495477,0.020174259,0.084299368,0.071524999,0.049491737,0.032177883,0.101460338,0.092100034,0.081255119,0.060626432,0.113465071,0.119445693,0.124315025,0.147777321,0.118967104,0.132418187,0.147179165,0.166038738,0.119730521,0.143931423,0.159493318,0.180092649,0.115388618,0.138302009,0.147341983,0.158087413,0.103622431,0.106345211,0.115093746,0.147922295,0.094666372,0.085287171,0.081901192,0.092551684,0.085633298,0.075967263,0.047747712,0.036105934,0.101383616,0.090777557,0.07644278,0.041327947,0.026743548,0.089732203,0.082197849,0.055737963,0.031558027,0.105595611,0.097718622,0.103452443,0.09040747,0.055125878,0.107796791,0.125064213,0.120183831,0.151070141,0.126445719,0.137904201,0.158063887,0.163335541,0.121103216,0.152451371,0.16878556,0.186095762,0.12228508,0.145253865,0.154367879,0.174278157,0.107777183,0.11181874,0.124274065,0.128767585,0.097419767,0.103643952,0.088260532,0.101569313,0.097772394,0.076110699,0.055298935,0.028767124
0.122845877,0.102120318,0.080451439,0.059351282,0.02453713,0.093367009,0.086995588,0.065806217,0.046310829,0.117906855,0.101953136,0.098177903,0.07665086,0.109544795,0.126312869,0.143802548,0.115367311,0.125896782,0.139025773,0.16001934,0.177744614,0.13982168,0.146066,0.178909598,0.186893121,0.123415513,0.143902928,0.161077322,0.185170361,0.116493073,0.12211441,0.151355674,0.138892931,0.11558373,0.114519442,0.087064326,0.066114225,0.09529285,0.077605625,0.062136106,0.032458962,0.083067193,0.060821129,0.056303609,0.022578836,0.085643154,0.070952793,0.054356523,0.03505396,0.105874292,0.102405677,0.08554467,0.070013199,0.115903528,0.107938532,0.131534149,0.130695934,0.129153246,0.141759367,0.161755142,0.183103894,0.123345344,0.14314099,0.171890351,0.182750331,0.115789633,0.137782949,0.156762325,0.173231944,0.117506884,0.109857393,0.140511622,0.146934402,0.100972926,0.099848262,0.079772671,0.069735854,0.102476063,0.087320618,0.076161777,0.061737305,0.051438802,0.100873795,0.082644464,0.064266261,0.042746212,0.02527974,0.091970861,0.07355129,0.049305698,0.030041743,0.09598153,0.083386366,0.074464175,0.065718223,0.111281455,0.113993809,0.129959295,0.134667893,0.120947631,0.137000966,0.156622554,0.170710798,0.121663388,0.141263409,0.158889036,0.180217142,0.117911887,0.136378768,0.147922781,0.157478172,0.106108569,0.112866823,0.131116869,0.126277522,0.096025761,0.095146571,0.099305453,0.078322275,0.08993739,0.07105651,0.054405737,0.037507319,0.100011908,0.080011347,0.065895169,0.041186661,0.020720487,0.086081014,0.076925263,0.052821086,0.044111471,0.097594046,0.086035884,0.081908132,0.081701028,0.107282738,0.112948806,0.123296609,0.129128974,0.117894553,0.137979972,0.154552086,0.174805874,0.121695231,0.1425577,0.16156436,0.181411698,0.114611649,0.133544002,0.150478482,0.159214615,0.110894937,0.120085423,0.111662431,0.120790409,0.097687625,0.085959109,0.093922852,0.094883971,0.083584815,0.074172783,0.052126885,0.029263443,0.103045078,0.081569098,0.065888678,0.046457483,0.032701247,0.094820393,0.072917411,0.056974267,0.04099727,0.112964469,0.09728972,0.103412158,0.07749146,0.073761172,0.112387057,0.126134347,0.134445584,0.129294565,0.130672413,0.136990764,0.145336043,0.175496405,0.121120317,0.147260032,0.168671834,0.184995534,0.116063812,0.142593356,0.149136728,0.164437119,0.116834885,0.11556335,0.113453749,0.143711888,0.11159883,0.086040941,0.094637607,0.054363687,0.087821951,0.075279418,0.060083681,0.033757719
0.117024797,0.090869243,0.09076081,0.045179716,0.02939246,0.115418738,0.081688058,0.053098529,0.029334137,0.119089529,0.10800877,0.105028869,0.057034141,0.117020444,0.139064446,0.152153375,0.156679242,0.126428339,0.138450318,0.160057367,0.188407062,0.141510826,0.148689424,0.175561158,0.203546795,0.133845863,0.163860937,0.165525476,0.18800191,0.125571705,0.128693216,0.138928424,0.153644107,0.107207603,0.103469288,0.083562144,0.062909836,0.104086656,0.070475833,0.052654301,0.033152861,0.08134347,0.063084656,0.05280396,0.02709492,0.083703134,0.074144247,0.054896278,0.027353592,0.094660658,0.084315342,0.087542527,0.078588406,0.108855955,0.123929854,0.128153699,0.122172325,0.126890711,0.136550041,0.154450633,0.18415502,0.122452185,0.1411856,0.161082956,0.192990229,0.12892441,0.149782486,0.161275449,0.167112061,0.109800079,0.119251851,0.123121418,0.141611652,0.099374093,0.092225587,0.106740436,0.090578872,0.115905917,0.088700646,0.067475649,0.050254415,0.029975045,0.101110053,0.081373461,0.067709515,0.040547076,0.024021551,0.083351526,0.077567648,0.051555764,0.025895009,0.101523498,0.087843913,0.099007141,0.069015481,0.104211021,0.111822494,0.126698454,0.136461292,0.117734548,0.140190965,0.14743254,0.168005255,0.120036429,0.146083229,0.164844375,0.179625708,0.122324484,0.136488932,0.146143329,0.163451459,0.109684453,0.113132103,0.119614167,0.12686485,0.097899843,0.083212076,0.091081144,0.088089523,0.087878341,0.076398052,0.048547757,0.045915969,0.105238232,0.08027998,0.060912847,0.045800728,0.024458937,0.089269835,0.070140563,0.046974873,0.041270439,0.095880403,0.100885921,0.078149509,0.089938313,0.106627864,0.114325066,0.118673687,0.140554674,0.120224623,0.138466541,0.155073063,0.165414961,0.124128759,0.140526835,0.161948637,0.181687104,0.121701064,0.137476219,0.14521527,0.161377668,0.104466142,0.115180659,0.12707391,0.114175867,0.101038606,0.099030222,0.093209447,0.099833048,0.082648272,0.069345214,0.047292992,0.044250144,0.100611619,0.080999936,0.061730038,0.043199216,0.031289456,0.086271451,0.070149174,0.052174932,0.052911782,0.111871662,0.094691811,0.090780866,0.098133756,0.061921423,0.11047345,0.12237939,0.127678395,0.132256364,0.119748395,0.137331629,0.150602646,0.173591853,0.123447277,0.154969758,0.160821023,0.187683057,0.130572164,0.139358698,0.158619361,0.16435826,0.112116085,0.130815627,0.111015628,0.154708422,0.099879288,0.090758495,0.076224498,0.10375032,0.085779328,0.066090726,0.072703114,0.026436943
0.105470545,0.105437778,0.069170894,0.055003175,0.035600097,0.098730526,0.085180901,0.078238659,0.03557948,0.128886257,0.101546532,0.104417831,0.083627445,0.119058926,0.11270953,0.127770081,0.140820994,0.129198634,0.142347814,0.154351682,0.197906026,0.141624053,0.146830089,0.166249991,0.19505607,0.132988691,0.160032963,0.178401721,0.172275003,0.130613805,0.12518722,0.116269071,0.124865428,0.118250808,0.112612151,0.075964452,0.079926671,0.105214184,0.085775231,0.050713828,0.03501684,0.099565828,0.066562687,0.050705815,0.032952857,0.090384979,0.067808374,0.053377387,0.041701696,0.097472649,0.092194317,0.087657495,0.071797988,0.115467363,0.109607487,0.113952884,0.121278456,0.118718608,0.136446857,0.1541018,0.169391426,0.128340945,0.145329039,0.163905961,0.180725739,0.117204002,0.136568663,0.167491426,0.182464391,0.123341934,0.130653256,0.120170626,0.152508244,0.094838119,0.102770501,0.078366002,0.078308572,0.107280177,0.100665284,0.072797726,0.055161724,0.046889782,0.100301093,0.080567599,0.067133746,0.041071596,0.023140161,0.088404935,0.075125451,0.060043479,0.029436804,0.098478004,0.086596403,0.089740049,0.098310547,0.112492879,0.113347367,0.115661917,0.135876766,0.12112777,0.134541808,0.147070542,0.172523152,0.120396914,0.140709404,0.165469902,0.18010834,0.122124214,0.135417195,0.143393949,0.161649614,0.108711961,0.11401504,0.12403499,0.140848387,0.098645078,0.09577676,0.084257225,0.057146984,0.08416318,0.065950302,0.0487729,0.037457025,0.100446477,0.080533382,0.061687411,0.046280996,0.020619712,0.082115645,0.068119588,0.047122265,0.038145084,0.097285585,0.089180152,0.076872554,0.061637103,0.113037392,0.119497694,0.126053927,0.125210922,0.119256409,0.136965362,0.152295281,0.159620234,0.119968549,0.139874519,0.160930951,0.181112321,0.11388905,0.129870011,0.155536156,0.161981737,0.109387405,0.120675024,0.126163429,0.137008522,0.096302712,0.097779146,0.081746941,0.094320069,0.085675662,0.077573441,0.059044146,0.026102114,0.116197381,0.086816843,0.06544598,0.053431421,0.029138468,0.098360722,0.069510993,0.057789822,0.029866455,0.11375563,0.0964332,0.093368845,0.078458409,0.094056427,0.117135015,0.111403769,0.118817198,0.148071013,0.117014248,0.139064141,0.166179598,0.171596799,0.132975949,0.147793487,0.162565829,0.18095684,0.120654318,0.139058783,0.151378339,0.180983806,0.106852546,0.118560457,0.113516444,0.138059695,0.09551177,0.098200898,0.077053932,0.061179222,0.087045671,0.083689914,0.066494877,0.03762911
